,Company,TypeName,Inches,Ram,Weight,Price,IPS Panel,Display,TouchScreen,First_Res,Second_Res,Processor,Speed,SSD,HDD,Hybrid,Flash_Storage,Graphics_Card,OS,Resolution
0,Apple,Ultrabook,13.3,8,1.37,71378.6832,Yes,Retina Display,No,2560,1600,Intel Core i5,2.3,128,0,0,0,Intel,MacOS,2560x1600
1,Apple,Ultrabook,13.3,8,1.34,47895.5232,No,HD Display,No,1440,900,Intel Core i5,1.8,0,0,0,128,Intel,MacOS,1440x900
2,HP,Notebook,15.6,8,1.86,30636.0,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,256,0,0,0,Intel,Other OS,1920x1080
3,Apple,Ultrabook,15.4,16,1.83,135195.33599999998,Yes,Retina Display,No,2880,1800,Intel Core i7,2.7,512,0,0,0,AMD,MacOS,2880x1800
4,Apple,Ultrabook,13.3,8,1.37,96095.808,Yes,Retina Display,No,2560,1600,Intel Core i5,3.1,256,0,0,0,Intel,MacOS,2560x1600
5,Acer,Notebook,15.6,4,2.1,21312.0,No,HD Display,No,1366,768,AMD Processor,3.0,0,500,0,0,AMD,Windows,1366x768
6,Apple,Ultrabook,15.4,16,2.04,114017.6016,Yes,Retina Display,No,2880,1800,Intel Core i7,2.2,0,0,0,256,Intel,Other OS,2880x1800
7,Apple,Ultrabook,13.3,8,1.34,61735.536,No,HD Display,No,1440,900,Intel Core i5,1.8,0,0,0,256,Intel,MacOS,1440x900
8,Asus,Ultrabook,14.0,16,1.3,79653.59999999999,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,512,0,0,0,Nvidia,Windows,1920x1080
9,Acer,Ultrabook,14.0,8,1.6,41025.6,Yes,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
10,HP,Notebook,15.6,4,1.86,20986.992,No,HD Display,No,1366,768,Intel Core i5,2.5,0,500,0,0,Intel,Other OS,1366x768
11,HP,Notebook,15.6,4,1.86,18381.0672,No,Full HD Display,No,1920,1080,Intel Core i3,2.0,0,500,0,0,Intel,Other OS,1920x1080
12,Apple,Ultrabook,15.4,16,1.83,130001.6016,Yes,Retina Display,No,2880,1800,Intel Core i7,2.8,256,0,0,0,AMD,MacOS,2880x1800
13,Dell,Notebook,15.6,4,2.2,26581.392,No,Full HD Display,No,1920,1080,Intel Core i3,2.0,256,0,0,0,AMD,Windows,1920x1080
14,Apple,Ultrabook,12.0,8,0.92,67260.672,Yes,Retina Display,No,2304,1440,Other Intel Processor,1.2,256,0,0,0,Intel,MacOS,2304x1440
15,Apple,Ultrabook,13.3,8,1.37,80908.344,Yes,Retina Display,No,2560,1600,Intel Core i5,2.3,256,0,0,0,Intel,MacOS,2560x1600
16,Dell,Notebook,15.6,8,2.2,39693.6,No,Full HD Display,No,1920,1080,Intel Core i7,2.7,256,0,0,0,AMD,Windows,1920x1080
17,Apple,Ultrabook,15.4,16,1.83,152274.24,Yes,Retina Display,No,2880,1800,Intel Core i7,2.9,512,0,0,0,AMD,MacOS,2880x1800
18,Lenovo,Notebook,15.6,8,2.2,26586.72,No,Full HD Display,No,1920,1080,Intel Core i3,2.4,0,1024,0,0,Nvidia,Other OS,1920x1080
19,Dell,Ultrabook,13.3,8,1.22,52161.12,Yes,Full HD Display,Yes,1920,1080,Intel Core i5,1.6,128,0,0,0,Intel,Windows,1920x1080
20,Asus,Netbook,11.6,2,0.98,10224.432,No,HD Display,No,1366,768,Other Intel Processor,1.44,0,0,0,32,Intel,Windows,1366x768
21,Lenovo,Gaming,15.6,8,2.5,53226.72,Yes,Full HD Display,No,1920,1080,Intel Core i5,2.5,128,1024,0,0,Nvidia,Windows,1920x1080
22,HP,Notebook,15.6,4,1.86,13746.24,No,HD Display,No,1366,768,AMD Processor,1.5,0,500,0,0,AMD,Other OS,1366x768
23,Dell,2 in 1 Convertible,13.3,8,1.62,43636.32,No,Full HD Display,Yes,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
24,HP,Ultrabook,15.6,8,1.91,35111.52,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,Intel,Windows,1920x1080
25,Dell,Notebook,15.6,4,2.3,22305.1392,No,HD Display,No,1366,768,Intel Core i3,2.0,0,1024,0,0,Intel,Windows,1366x768
26,Apple,Ultrabook,13.3,8,1.35,58554.72,No,HD Display,No,1440,900,Intel Core i5,1.6,0,0,0,128,Intel,Other OS,1440x900
27,Dell,Notebook,15.6,8,2.2,42624.0,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,AMD,Windows,1920x1080
28,Dell,Ultrabook,15.6,8,1.88,69157.44,No,Full HD Display,No,1920,1080,Intel Core i7,1.9,512,0,0,0,Intel,Windows,1920x1080
